player,episode,date,team_reported,status,player_id,cricsheet_name,candidates
Moeen Ali,1,2021-01-03,England,unique,bb351c23,MM Ali,MM Ali [bb351c23] England; Worcestershire; Chennai Super Kings; Birmingham Phoenix n=340
Mohamed Shiraz,1,2021-08-09,Sri Lanka domestic,unique,cdac5a3d,M Shiraz,M Shiraz [cdac5a3d] Galle Gladiators n=3
Mohammad Abbas,1,2020-11-24,Pakistan,unique,a089f93f,Mohammad Abbas,Mohammad Abbas [a089f93f] Hampshire; Pakistan; Leicestershire; Multan Sultans n=93
Mohammad Faizan,1,2021-03-04,Lahore Qalandars,manual: Cricsheet spells Muhammad Faizan (Lahore Qalandars),1574f3fe,,
Mohammad Hafeez,1,2020-06-22,Pakistan,unique,9ab63e7b,Mohammad Hafeez,Mohammad Hafeez [9ab63e7b] Pakistan; Lahore Qalandars; Peshawar Zalmi; St Kitts and Nevis Patriots n=196
Mohammad Hasnain,1,2020-06-22,Pakistan,unique,8596fe80,Mohammad Hasnain,Mohammad Hasnain [8596fe80] Pakistan; Quetta Gladiators; B-Love Kandy; Sydney Thunder n=90
Mohammad Nawaz,1,2021-09-08,Pakistan,unique,3086f7a4,Mohammad Nawaz,Mohammad Nawaz [3086f7a4] Pakistan; Quetta Gladiators; Cape Town Blitz; Colombo Strikers n=108 | Mohammad Nawaz (3) [3086f7a4] Quetta Gladiators; Pakistan n=73
Mohammad Rizwan,1,2020-06-22,Pakistan,unique,2f26ac1a,Mohammad Rizwan,Mohammad Rizwan [2f26ac1a] Pakistan; Multan Sultans; Karachi Kings; Sussex n=237
Mohammed Shami,1,2022-09-17,India,unique,8cf9814c,Mohammed Shami,Mohammed Shami [8cf9814c] India; Gujarat Titans; Kings XI Punjab; Punjab Kings n=198
Mominul Haque,1,2020-11-10,Bangladesh,unique,de0a3209,Mominul Haque,Mominul Haque [de0a3209] Bangladesh; Rajshahi Kings; Dhaka Platoon; Comilla Victorians n=72
